block_date,total_eth_balance,number_of_addresses
2016-02-04,77074362.768558263,31086
2016-02-05,77100920.325350171,31615
2016-02-06,77127264.570826795,31730
2016-02-07,77153948.012677202,31936
2016-02-08,77180598.702455876,32140
2016-02-09,77207071.479381909,32447
2016-02-10,77233230.14318488,32759
2016-02-11,77259705.247603926,34133
2016-02-12,77286201.204408463,35033
2016-02-13,77313082.530630402,35406
2016-02-14,77339410.092520464,35918
2016-02-15,77365632.831537651,36331
2016-02-16,77392077.04282946,36721
2016-02-17,77417747.890981581,37224
2016-02-18,77443960.693262875,37490
2016-02-19,77470614.990093101,37870
2016-02-20,77497174.825842379,38151
2016-02-21,77523709.405289264,39334
2016-02-22,77550465.133969448,39565
2016-02-23,77576633.205810076,39873
2016-02-24,77603058.558775857,40203
2016-02-25,77629880.326610832,40612
2016-02-26,77656533.0862,40940
2016-02-27,77682727.290333135,41280
2016-02-28,77709151.167525391,41670
2016-02-29,77734377.99356512,41911
2016-03-01,77760855.902718334,42300
2016-03-02,77787496.380789246,43147
2016-03-03,77813602.634908408,43958
2016-03-04,77839480.297124185,44716
2016-03-05,77866059.813102068,45632
2016-03-06,77891454.561080943,46487
2016-03-07,77917436.393339126,47013
2016-03-08,77943256.010627104,47514
2016-03-09,77968994.175755153,48175
2016-03-10,77995620.877530263,48737
2016-03-11,78021926.289878914,49218
2016-03-12,78048295.676613427,49965
2016-03-13,78075545.553001929,50856
2016-03-14,78101953.318120276,51865
2016-03-15,78133176.833608407,52649
2016-03-16,78164666.63312527,53400
2016-03-17,78196690.540502409,54001
2016-03-18,78227972.989238755,54309
2016-03-19,78260051.712226134,54788
2016-03-20,78291639.041553732,55433
2016-03-21,78323032.814874092,55695
2016-03-22,78354744.375955018,56142
2016-03-23,78386038.146752488,56721
2016-03-24,78418109.169038719,57336
2016-03-25,78449999.090307607,57911
2016-03-26,78481927.277259196,58439
2016-03-27,78513557.926096827,58723
2016-03-28,78544870.907648565,59435
2016-03-29,78576302.503932554,59070
2016-03-30,78608003.385181342,59880
2016-03-31,78639392.811362192,60617
2016-04-01,78671277.595965137,61112
2016-04-02,78702358.757304609,61636
2016-04-03,78734088.325149651,62639
2016-04-04,78766041.341863115,62711
2016-04-05,78797616.136583788,63233
2016-04-06,78828878.563347118,63596
2016-04-07,78860045.862621116,63984
2016-04-08,78891960.119035027,64340
2016-04-09,78922874.364734176,64744
2016-04-10,78954648.040726116,65088
2016-04-11,78985618.836202314,65505
2016-04-12,79017004.523587581,66088
2016-04-13,79048493.313264234,66772
2016-04-14,79079894.490691616,67039
2016-04-15,79111627.906088298,67537
2016-04-16,79143158.849763862,67958
2016-04-17,79174657.714986721,68216
2016-04-18,79206520.888269471,68742
2016-04-19,79237847.276797881,69018
2016-04-20,79269678.527970344,69414
2016-04-21,79301052.227718702,69939
2016-04-22,79332628.81160258,70252
2016-04-23,79364322.349529154,70598
2016-04-24,79395815.834800891,70889
2016-04-25,79427953.791337843,71222
2016-04-26,79459241.475412224,71589
2016-04-27,79491116.229847414,71966
2016-04-28,79522798.525220696,72404
2016-04-29,79554474.247768558,70643
2016-04-30,79586365.013972235,71148
2016-05-01,79617373.668030783,71560
2016-05-02,79649284.825174209,72150
2016-05-03,79681078.469130108,72418
2016-05-04,79712536.311568913,72962
2016-05-05,79744311.753763269,73606
2016-05-06,79776052.673311495,74163
2016-05-07,79807624.844533176,74567
2016-05-08,79839473.375063792,75078
2016-05-09,79871274.03327438,75572
2016-05-10,79902974.135590782,76058
2016-05-11,79934226.142368062,76827
2016-05-12,79966481.834653861,78622
2016-05-13,79998677.067369181,78977
2016-05-14,80030343.022457311,79759
2016-05-15,80062147.639641546,81374
2016-05-16,80093661.550904531,81712
2016-05-17,80125853.274429359,83116
2016-05-18,80158256.747788455,86195
2016-05-19,80190159.354403437,88353
2016-05-20,80222247.594647055,92062
2016-05-21,80254082.39670722,93368
2016-05-22,80286341.910966165,94473
2016-05-23,80318421.390981942,95276
2016-05-24,80350423.847131056,96247
2016-05-25,80382780.134037908,97952
2016-05-26,80414887.151245654,98976
2016-05-27,80447207.350701255,100279
2016-05-28,80479522.460010089,103486
2016-05-29,80511490.652659695,104420
2016-05-30,80543495.898270065,105056
2016-05-31,80575024.632715205,105875
2016-06-01,80607172.041213053,106773
2016-06-02,80639353.07630915,107309
2016-06-03,80671624.967254167,108075
2016-06-04,80703766.140262886,108864
2016-06-05,80735349.052762803,109565
2016-06-06,80767719.78663403,110194
2016-06-07,80799665.159281301,115162
2016-06-08,80831967.695666734,115945
2016-06-09,80864193.186627193,116800
2016-06-10,80895356.846583968,117422
2016-06-11,80927728.19909842,118372
2016-06-12,80959947.910914691,118879
2016-06-13,80992171.223542574,119987
2016-06-14,81024316.020881003,121276
2016-06-15,81056182.350433562,122373
2016-06-16,81088059.272132655,123328
2016-06-17,81121470.097223709,126484
2016-06-18,81155859.669808838,126960
2016-06-19,81189053.50696822,127754
2016-06-20,81220767.230062231,128618
2016-06-21,81252754.641795298,129484
2016-06-22,81285424.400045616,130242
2016-06-23,81317271.824385106,130978
2016-06-24,81349443.136459217,131551
2016-06-25,81381128.711375348,131988
2016-06-26,81413439.604660828,132495
2016-06-27,81445534.050432798,133104
2016-06-28,81477694.919332716,133651
2016-06-29,81509564.209555374,134299
2016-06-30,81541546.741243332,134809
2016-07-01,81574167.824150378,135287
2016-07-02,81606084.099340519,135560
2016-07-03,81638123.375231381,135970
2016-07-04,81670259.905311779,136173
2016-07-05,81701840.925145072,136684
2016-07-06,81734195.211449527,137108
2016-07-07,81766091.256199933,137683
2016-07-08,81798039.739115025,137984
2016-07-09,81830837.496232525,138526
2016-07-10,81862802.32258623,139022
2016-07-11,81894787.174466703,139426
2016-07-12,81926543.982131631,139856
2016-07-13,81958701.381355007,139909
2016-07-14,81990516.01903059,140343
2016-07-15,82022400.259537283,140684
2016-07-16,82054565.876641516,141227
2016-07-17,82086347.10800969,141520
2016-07-18,82118845.883387811,142481
2016-07-19,82150619.997129013,133043
2016-07-20,82182532.495186132,134379
2016-07-21,82215319.920686527,134712
2016-07-22,82247010.397088263,135247
2016-07-23,82279401.025539755,136199
2016-07-24,82310867.848380654,134175
2016-07-25,82342857.972328839,135904
2016-07-26,82373626.266117455,133503
2016-07-27,82406569.185835588,130900
2016-07-28,82438923.431623412,131865
2016-07-29,82470861.112254471,133832
2016-07-30,82502501.981944461,134345
2016-07-31,82534719.521288551,134557
2016-08-01,82566310.888053868,134702
2016-08-02,82597662.356299344,134464
2016-08-03,82629364.519397135,134764
2016-08-04,82662218.789408842,135462
2016-08-05,82694450.028153906,136520
2016-08-06,82726033.959158014,136411
2016-08-07,82758327.220422674,136558
2016-08-08,82790501.507328249,136822
