block_date,total_eth_balance,number_of_addresses
2017-09-07,94483492.358360596,1074111
2017-09-08,94502714.272284994,1086675
2017-09-09,94521674.19045854,1093397
2017-09-10,94540634.590482236,1104539
2017-09-11,94559445.651717936,1110511
2017-09-12,94578733.916296507,1121490
2017-09-13,94597661.758863066,1128829
2017-09-14,94617002.554373031,1130241
2017-09-15,94636459.603246096,1136955
2017-09-16,94655757.153301188,1144045
2017-09-17,94674937.170713412,1147972
2017-09-18,94693952.345624477,1134059
2017-09-19,94713302.42037647,1154258
2017-09-20,94732434.299820618,1161144
2017-09-21,94751747.520771193,1167426
2017-09-22,94767462.976447474,1172340
2017-09-23,94782429.271555356,1176831
2017-09-24,94797854.691998948,1182174
2017-09-25,94812705.760470389,1185741
2017-09-26,94827862.929083685,1189759
2017-09-27,94843250.109469199,1198773
2017-09-28,94858217.150124933,1206449
2017-09-29,94873065.437866272,1198752
2017-09-30,94887904.92428798,1197772
2017-10-01,94903023.003328031,1202755
2017-10-02,94918086.329864281,1210737
2017-10-03,94933237.18926882,1217921
2017-10-04,94948534.737290966,1226691
2017-10-05,94963982.804711009,1232531
2017-10-06,94978986.222818671,1240415
2017-10-07,94993966.094878265,1243228
2017-10-08,95009123.348002401,1248096
2017-10-09,95024304.778191312,1254751
2017-10-10,95039746.049723617,1263825
2017-10-11,95055263.875559405,1266048
2017-10-12,95070631.573628796,1269991
2017-10-13,95086028.683515046,1275769
2017-10-14,95101322.098715875,1284127
2017-10-15,95116891.820187998,1293545
2017-10-16,95133061.813388844,1302956
2017-10-17,95153328.215989475,1310036
2017-10-18,95173705.619010004,1318789
2017-10-19,95194092.862345818,1329533
2017-10-20,95214558.074961453,1337746
2017-10-21,95234669.445465183,1344282
2017-10-22,95255087.709489313,1342964
2017-10-23,95275529.791735637,1345650
2017-10-24,95296037.173455267,1352760
2017-10-25,95316219.597541796,1360082
2017-10-26,95336380.542645411,1369284
2017-10-27,95356820.986440804,1375982
2017-10-28,95377235.813642752,1383732
2017-10-29,95397497.620952752,1389657
2017-10-30,95417559.892496729,1397619
2017-10-31,95438135.551505133,1405499
2017-11-01,95458389.167424451,1411433
2017-11-02,95478710.116583167,1424227
2017-11-03,95498953.746431791,1434656
2017-11-04,95519129.04796122,1441709
2017-11-05,95539706.629402222,1450235
2017-11-06,95559883.907451319,1457734
2017-11-07,95580262.419744666,1462301
2017-11-08,95600474.380576034,1469474
2017-11-09,95620733.743291603,1478778
2017-11-10,95641227.057196278,1493057
2017-11-11,95661628.456541812,1497914
2017-11-12,95681807.18690394,1505301
2017-11-13,95702185.030285284,1513493
2017-11-14,95722197.535883481,1523530
2017-11-15,95742650.429646552,1538825
2017-11-16,95762831.558113386,1547722
2017-11-17,95783199.614450904,1551494
2017-11-18,95803498.364802339,1559081
2017-11-19,95823886.772211966,1563820
2017-11-20,95844273.350606607,1569167
2017-11-21,95864621.703923634,1581816
2017-11-22,95885076.68707541,1593468
2017-11-23,95905383.016371768,1604190
2017-11-24,95925761.061761061,1616572
2017-11-25,95946034.502415109,1629338
2017-11-26,95966341.97618546,1641932
2017-11-27,95986534.549461788,1653699
2017-11-28,96006786.172380196,1674714
2017-11-29,96027153.726104956,1697765
2017-11-30,96047530.677165777,1724522
2017-12-01,96067983.623598974,1762091
2017-12-02,96088161.807383741,1788108
2017-12-03,96108438.847855012,1808827
2017-12-04,96128799.148124488,1837879
2017-12-05,96149363.079079858,1869499
2017-12-06,96169905.862081143,1926041
2017-12-07,96190764.884789243,1974936
2017-12-08,96211046.041011292,2022540
2017-12-09,96231490.548005176,2056151
2017-12-10,96251809.950182917,2081466
2017-12-11,96272000.824618618,2093625
2017-12-12,96292385.999593538,2104809
2017-12-13,96312886.60574272,2145747
2017-12-14,96333568.843551278,2185456
2017-12-15,96354285.613796403,2218284
2017-12-16,96374579.656037133,2246271
2017-12-17,96394841.62937643,2282985
2017-12-18,96415318.714784808,2329385
2017-12-19,96435796.324136058,2372837
2017-12-20,96456273.561941232,2413531
2017-12-21,96476583.752425041,2475915
2017-12-22,96496796.062368121,2471060
2017-12-23,96517496.609680149,2499206
2017-12-24,96537927.917449809,2530598
2017-12-25,96558341.841539912,2563890
2017-12-26,96578750.510273324,2587620
2017-12-27,96599192.806892951,2635161
2017-12-28,96619508.092794864,2677651
2017-12-29,96639709.614614223,2706672
2017-12-30,96660031.325687906,2733718
2017-12-31,96680461.407772622,2782507
2018-01-01,96701008.915530192,2817066
2018-01-02,96721553.219396002,2878971
2018-01-03,96742055.454599725,2973608
2018-01-04,96762776.891073679,3060657
2018-01-05,96783611.585593551,3182417
2018-01-06,96804467.428598433,3277950
2018-01-07,96825527.273792387,3333774
2018-01-08,96846001.865817125,3413648
2018-01-09,96866513.671229216,3429643
2018-01-10,96887513.554162587,3517331
2018-01-11,96908389.526190889,3583469
2018-01-12,96929211.93153897,3653987
2018-01-13,96949911.206236338,3716285
2018-01-14,96970974.823737315,3764577
2018-01-15,96990802.455533157,3745331
2018-01-16,97011352.87330351,3753020
2018-01-17,97031822.65487995,3744626
2018-01-18,97051974.512092301,3738481
2018-01-19,97072401.91655216,3759375
2018-01-20,97093141.291490477,3817000
2018-01-21,97112521.155365611,3706063
2018-01-22,97133054.023762299,3750885
2018-01-23,97153478.851989487,3787899
2018-01-24,97173977.070570716,3830370
2018-01-25,97194242.942388755,3844891
2018-01-26,97214415.400886266,3853067
2018-01-27,97234651.823113229,3854374
2018-01-28,97255135.411465477,3889056
2018-01-29,97275641.283813226,3928420
2018-01-30,97295862.504441058,3957496
2018-01-31,97316328.852005546,3996731
2018-02-01,97336818.249562717,4036964
2018-02-02,97357398.728296627,4066304
2018-02-03,97377670.334603233,4084111
2018-02-04,97397936.939155479,4098393
2018-02-05,97418513.973754772,4104888
2018-02-06,97438833.042308916,4115993
2018-02-07,97459226.595393221,4123057
2018-02-08,97479550.471666842,4134436
2018-02-09,97499759.697620825,4154485
2018-02-10,97520382.658952777,4179244
2018-02-11,97540289.73447343,4169510
2018-02-12,97560669.914558586,4183385
2018-02-13,97581067.176457107,4199316
2018-02-14,97601093.780127165,4213431
2018-02-15,97621668.491042815,4225432
2018-02-16,97642011.194070361,4240258
2018-02-17,97662517.346347515,4259376
2018-02-18,97682808.098014205,4273749
2018-02-19,97703168.98869984,4292365
2018-02-20,97723504.477505095,4310731
2018-02-21,97744120.347491583,4327288
2018-02-22,97764470.911042341,4343111
2018-02-23,97785083.361960807,4361550
2018-02-24,97805537.931112383,4375500
2018-02-25,97825716.690141241,4385929
2018-02-26,97846023.439521919,4394237
2018-02-27,97866360.350982633,4415073
2018-02-28,97886878.500105853,4434852
2018-03-01,97907205.620705418,4447442
2018-03-02,97927813.258949439,4457618
2018-03-03,97948208.663721742,4474439
2018-03-04,97968393.923435762,4487022
2018-03-05,97988660.635815442,4499227
2018-03-06,98008912.467443841,4489012
2018-03-07,98028881.331130718,4397583
2018-03-08,98049100.327826226,4401494
2018-03-09,98069447.762740852,4417838
2018-03-10,98089763.523983214,4412405
2018-03-11,98110291.443062923,4426647
2018-03-12,98130650.680454762,4448361
2018-03-13,98150892.397729123,4444624
2018-03-14,98171233.140087664,4433357
2018-03-15,98191683.988321174,4449147
2018-03-16,98212178.162941597,4462996
2018-03-17,98232551.60917009,4465929
2018-03-18,98252896.764979686,4490079
2018-03-19,98273053.206878568,4482243
2018-03-20,98293469.756123791,4503061
2018-03-21,98313612.654869675,4498592
2018-03-22,98334072.341994035,4497438
2018-03-23,98354296.744386982,4451811
2018-03-24,98374786.794287133,4408387
2018-03-25,98395088.148066312,4414959
2018-03-26,98415474.533279193,4423429
2018-03-27,98435697.770394585,4425606
2018-03-28,98456015.390343233,4429623
2018-03-29,98476380.660371991,4436911
2018-03-30,98496846.929277659,4426391
2018-03-31,98517301.942952442,4436087
2018-04-01,98537466.077118708,4437655
2018-04-02,98557893.794926805,4446257
2018-04-03,98578244.223539136,4455265
2018-04-04,98598507.978541957,4461493
2018-04-05,98619058.151530169,4473595
2018-04-06,98639460.815002243,4475767
2018-04-07,98659686.399066494,4484759
2018-04-08,98679965.127681986,4494768
2018-04-09,98700213.042320248,4498275
2018-04-10,98720693.3072052,4502173
2018-04-11,98740890.324653479,4503251
2018-04-12,98761047.149306973,4501326
2018-04-13,98781616.212827901,4511055
2018-04-14,98801960.585376035,4513635
2018-04-15,98822317.74635519,4524355
2018-04-16,98842869.319271145,4531789
2018-04-17,98863206.283572258,4551466
2018-04-18,98883399.309842407,4557940
2018-04-19,98903993.800902062,4568082
2018-04-20,98924285.096738975,4574027
2018-04-21,98944744.066054895,4572223
2018-04-22,98965132.128260339,4559567
2018-04-23,98985594.085864224,4547180
2018-04-24,99005905.550009622,4565771
2018-04-25,99026445.761040628,4575398
2018-04-26,99047178.217678126,4584761
2018-04-27,99067471.762972747,4594860
2018-04-28,99087692.132232263,4618292
2018-04-29,99108371.766833718,4631109
2018-04-30,99128851.043793836,4638340
2018-05-01,99149233.067102711,4650636
2018-05-02,99170036.131256449,4653849
2018-05-03,99190535.356735367,4663609
2018-05-04,99209446.599982243,4402919
2018-05-05,99229765.609270748,4358569
2018-05-06,99250265.101632212,4363170
2018-05-07,99270933.290277326,4373094
2018-05-08,99291215.388829389,4380144
2018-05-09,99311632.96830342,4399370
2018-05-10,99332011.529259513,4419040
2018-05-11,99352608.052594865,4430640
2018-05-12,99373121.407348745,4438448
2018-05-13,99393475.966645196,4457198
2018-05-14,99413758.57139636,4471056
2018-05-15,99434255.345979325,4486182
2018-05-16,99454602.011174744,4505583
2018-05-17,99475122.154030396,4519593
2018-05-18,99495658.87177792,4528455
2018-05-19,99516257.13288563,4541771
2018-05-20,99536845.738668128,4555932
2018-05-21,99557473.637422278,4564798
2018-05-22,99577955.665523694,4574673
2018-05-23,99598768.987705724,4584618
2018-05-24,99619043.512404256,4597579
2018-05-25,99639619.841221014,4609107
2018-05-26,99660284.424361128,4623486
2018-05-27,99680626.824612936,4632099
2018-05-28,99701190.781162792,4646226
2018-05-29,99721684.966580955,4654710
2018-05-30,99742231.242772549,4669225
2018-05-31,99762845.859810623,4683044
2018-06-01,99783324.323954467,4699195
2018-06-02,99803977.899746222,4710276
2018-06-03,99824409.928423808,4738777
2018-06-04,99845110.227819407,4751638
2018-06-05,99865372.903562856,4772572
2018-06-06,99885937.789869508,4806455
2018-06-07,99906670.958392668,4821498
2018-06-08,99927302.934458561,4842819
2018-06-09,99948058.783560673,4857946
2018-06-10,99968459.384552711,4861592
2018-06-11,99989225.702309717,4872093
2018-06-12,100009742.019903164,4876692
2018-06-13,100030180.746736316,4894244
2018-06-14,100050570.857347409,4902025
2018-06-15,100071036.547421839,4905587
2018-06-16,100091556.344921017,4910878
2018-06-17,100111881.511960231,4913087
2018-06-18,100132450.043177571,4928084
2018-06-19,100152847.933354784,4924430
2018-06-20,100173341.696371107,4916905
2018-06-21,100193722.183447082,4911697
2018-06-22,100214376.216020365,4899086
2018-06-23,100234987.39613307,4904999
2018-06-24,100255373.890734619,4901536
2018-06-25,100275912.664549889,4916459
2018-06-26,100296556.975575749,4922708
2018-06-27,100317015.442424947,4916013
2018-06-28,100337362.480645203,4931617
2018-06-29,100357674.798230144,4924709
2018-06-30,100378255.971660868,4937219
2018-07-01,100398639.610727805,4946954
2018-07-02,100419256.426829436,4959594
2018-07-03,100439671.674804578,4962818
2018-07-04,100460114.790196263,4975539
2018-07-05,100480457.133554506,4977318
2018-07-06,100500828.819118943,4990632
2018-07-07,100521292.493142584,4993834
2018-07-08,100541659.269419834,4996828
2018-07-09,100562233.567409443,4998439
2018-07-10,100582543.142647694,4998794
2018-07-11,100603174.12088509,4999937
2018-07-12,100623637.274874306,5013017
2018-07-13,100643883.095103621,5024198
2018-07-14,100664346.184865775,5022165
2018-07-15,100684959.733984209,5024288
2018-07-16,100705244.487757992,5017184
2018-07-17,100725873.746207259,5023827
2018-07-18,100746125.31652866,5023234
2018-07-19,100766496.072005068,5026539
2018-07-20,100786598.982481437,5028700
2018-07-21,100807118.714775034,5036566
2018-07-22,100827841.877513846,5042875
2018-07-23,100848214.047957179,5054538
2018-07-24,100868745.508623572,5060055
2018-07-25,100889462.841908725,5058494
2018-07-26,100909838.976726547,5049648
2018-07-27,100930309.175659447,5060282
2018-07-28,100950712.400389598,5075195
2018-07-29,100971159.564740685,5081030
2018-07-30,100991495.548583206,5083425
2018-07-31,101012037.583041116,5079709
2018-08-01,101032434.213621848,5094830
2018-08-02,101052928.18685752,5096912
2018-08-03,101073422.409993473,5093465
2018-08-04,101093983.631103387,5094713
2018-08-05,101114439.992025012,5096800
2018-08-06,101134807.832248574,5113927
2018-08-07,101155149.094418619,5133780
2018-08-08,101175592.475279614,5142892
2018-08-09,101196054.744469252,5162658
2018-08-10,101216428.366949173,5172150
2018-08-11,101237027.801374641,5175413
2018-08-12,101257354.297638921,5175671
2018-08-13,101277711.256378792,5182644
2018-08-14,101297986.140262756,5183952
2018-08-15,101318301.776096423,5194532
2018-08-16,101338683.757408924,5193346
2018-08-17,101359132.005938654,5180121
2018-08-18,101379579.77794304,5183192
2018-08-19,101400001.847613731,5177321
2018-08-20,101420402.514711892,5177586
2018-08-21,101440858.938849248,5189825
2018-08-22,101461129.422624764,5200412
2018-08-23,101481457.543288888,5207373
2018-08-24,101502210.44267145,5212678
2018-08-25,101522672.036761916,5211043
2018-08-26,101543125.011943351,5212212
2018-08-27,101563681.855160699,5205819
2018-08-28,101584022.069457366,5206098
2018-08-29,101604245.931595041,5198894
2018-08-30,101624703.519857969,5201174
2018-08-31,101645104.156532218,5190425
2018-09-01,101665452.389526153,5177925
2018-09-02,101685911.151538299,5176525
2018-09-03,101706180.725822539,5161846
2018-09-04,101726676.911563549,5144084
2018-09-05,101746971.822259628,5120305
2018-09-06,101767554.874880323,5115936
2018-09-07,101787746.547872617,5117664
2018-09-08,101808015.24407159,5121185
2018-09-09,101828264.409438791,5121095
2018-09-10,101848666.264764179,5114455
2018-09-11,101868867.001607669,5119268
2018-09-12,101889224.361014126,5121630
2018-09-13,101909603.519392332,5119565
2018-09-14,101929990.978534587,5124428
2018-09-15,101950405.361349412,5130603
2018-09-16,101970888.908189406,5134327
2018-09-17,101991331.666176543,5139821
2018-09-18,102011486.727387711,5147699
2018-09-19,102032007.661459514,5154900
2018-09-20,102052395.431555187,5158138
2018-09-21,102073067.036073187,5159332
2018-09-22,102093351.790628764,5164158
2018-09-23,102113653.709983629,5168886
2018-09-24,102133969.989089905,5167050
2018-09-25,102154360.707445397,5169863
2018-09-26,102174916.708214349,5177200
2018-09-27,102195401.399697706,5190265
2018-09-28,102215782.815460801,5204290
2018-09-29,102235994.316678296,5210104
2018-09-30,102256472.29246079,5217797
2018-10-01,102276745.567586228,5227263
2018-10-02,102297229.105554034,5235455
2018-10-03,102317497.247489552,5241503
2018-10-04,102337831.186932865,5240667
2018-10-05,102357981.729037292,5233852
2018-10-06,102378464.588598249,5213449
2018-10-07,102398965.825273229,5211444
2018-10-08,102419356.498550292,5217228
2018-10-09,102439678.071127256,5223054
2018-10-10,102460015.788047736,5222026
2018-10-11,102480466.694184137,5226048
2018-10-12,102500782.592096778,5230911
2018-10-13,102521199.647266155,5226133
2018-10-14,102541656.286233629,5233712
2018-10-15,102561934.633690128,5244631
2018-10-16,102582293.454587322,5241228
2018-10-17,102602671.045529647,5237460
2018-10-18,102623089.837659251,5235554
2018-10-19,102643353.883679493,5238481
2018-10-20,102663702.151014254,5242878
2018-10-21,102684005.511708194,5247244
2018-10-22,102704225.146709854,5252950
2018-10-23,102724767.923974509,5249739
2018-10-24,102745048.172240005,5238637
2018-10-25,102765224.500418449,5228975
2018-10-26,102785664.292869188,5217498
2018-10-27,102805867.000461683,5212709
2018-10-28,102826153.035034505,5225403
2018-10-29,102846507.148259085,5221998
2018-10-30,102866639.904104112,5221865
2018-10-31,102887102.623548572,5228262
2018-11-01,102907295.110470097,5235196
2018-11-02,102927389.151582263,5242445
2018-11-03,102947527.220347839,5242938
2018-11-04,102967775.712309784,5253776
2018-11-05,102988122.354482185,5264352
2018-11-06,103008298.819287427,5268958
2018-11-07,103028737.642978473,5279960
2018-11-08,103048915.084433049,5289986
2018-11-09,103069220.84659625,5293132
2018-11-10,103089611.212899981,5301844
2018-11-11,103109900.477145521,5308158
2018-11-12,103130157.97916375,5307081
2018-11-13,103150390.821974696,5311005
2018-11-14,103170510.711342331,5316710
2018-11-15,103190475.443559889,5326952
2018-11-16,103210701.919375773,5336758
2018-11-17,103230668.494492044,5346829
2018-11-18,103250847.088186722,5355665
2018-11-19,103270706.852456441,5315829
2018-11-20,103290661.216713824,5318639
2018-11-21,103310840.613631065,5321758
2018-11-22,103330735.866244732,5322966
2018-11-23,103350816.254920865,5328430
2018-11-24,103370798.198232375,5331757
2018-11-25,103390784.44403338,5335932
2018-11-26,103410786.052987039,5339875
2018-11-27,103430498.986486858,5333399
2018-11-28,103450340.769829114,5340210
2018-11-29,103470392.115727516,5343776
2018-11-30,103490273.657936976,5352056
2018-12-01,103510001.781721601,5357429
2018-12-02,103529603.425830351,5359374
2018-12-03,103549158.962035502,5358076
2018-12-04,103568797.304923172,5363633
2018-12-05,103588463.260256429,5366716
2018-12-06,103608171.212742774,5370213
2018-12-07,103627626.894071965,5360810
2018-12-08,103647186.443729229,5340027
2018-12-09,103666759.13835345,5333952
2018-12-10,103686752.216369806,5336453
2018-12-11,103706077.549879063,5338186
2018-12-12,103725656.854514977,5339897
2018-12-13,103745359.736261786,5347346
2018-12-14,103764748.81090918,5354010
2018-12-15,103784549.012641543,5356625
2018-12-16,103804064.835941324,5363234
2018-12-17,103823091.882899174,5362916
2018-12-18,103841956.286320088,5368363
2018-12-19,103860780.100669803,5371680
2018-12-20,103879518.420242951,5365006
2018-12-21,103898295.058752438,5365009
2018-12-22,103917290.772848741,5368412
2018-12-23,103936126.43526253,5363890
2018-12-24,103955113.353940952,5371572
2018-12-25,103974153.852924807,5358195
2018-12-26,103993349.462491899,5342245
2018-12-27,104012250.948212938,5326691
2018-12-28,104031195.624165659,5332669
2018-12-29,104050480.229375816,5331579
2018-12-30,104069331.226492839,5332004
2018-12-31,104088300.344564129,5329772
2019-01-01,104107006.553082766,5330536
2019-01-02,104126093.322041642,5333965
2019-01-03,104143997.050499,5337798
2019-01-04,104161795.124087286,5336696
2019-01-05,104179788.207626218,5335535
2019-01-06,104197565.624546944,5338909
2019-01-07,104215570.398596355,5340512
2019-01-08,104233308.311695541,5343832
2019-01-09,104251283.528620492,5345289
2019-01-10,104269088.105163315,5351311
2019-01-11,104286861.170887686,5341777
2019-01-12,104304542.927526833,5345062
2019-01-13,104322473.631504505,5349626
2019-01-14,104340451.263595767,5303206
2019-01-15,104358331.126760162,5278766
2019-01-16,104375901.832716335,5283296
2019-01-17,104393567.645752517,5287888
2019-01-18,104411314.258311064,5289540
2019-01-19,104429277.042627515,5291208
2019-01-20,104447010.578167854,5296993
2019-01-21,104463119.699592397,5302438
2019-01-22,104479168.501427717,5309299
2019-01-23,104494882.543637992,5312681
2019-01-24,104510931.276991682,5317924
2019-01-25,104526978.276915617,5321611
2019-01-26,104542959.718567019,5325172
2019-01-27,104558771.521261198,5326626
2019-01-28,104574179.542455396,5320495
2019-01-29,104589596.289031152,5320235
2019-01-30,104605113.721851723,5323516
2019-01-31,104620720.631559758,5325788
2019-02-01,104636003.464108422,5325517
2019-02-02,104651592.356445144,5328179
2019-02-03,104666793.8619284,5329250
2019-02-04,104682171.31905232,5333311
2019-02-05,104697565.787280381,5337554
2019-02-06,104712845.120622985,5343090
2019-02-07,104728212.882891416,5338280
2019-02-08,104743666.43884208,5338304
2019-02-09,104758995.091602098,5339450
2019-02-10,104772367.337097654,5341887
2019-02-11,104785479.690744812,5340428
2019-02-12,104798816.510289386,5341116
2019-02-13,104811847.765432768,5346620
2019-02-14,104824908.350669231,5349404
2019-02-15,104837948.78108747,5353270
2019-02-16,104851214.462300555,5356306
2019-02-17,104864188.908617285,5359459
2019-02-18,104877456.243491339,5360989
2019-02-19,104890972.190596164,5365306
2019-02-20,104904385.657354212,5371280
2019-02-21,104917708.130150705,5375137
2019-02-22,104930975.767333184,5380494
2019-02-23,104944672.839462301,5384224
2019-02-24,104958045.403759671,5392862
2019-02-25,104971390.774033389,5404004
2019-02-26,104984866.00313266,5410788
2019-02-27,104998330.130989263,5412054
2019-02-28,105011229.626333679,5422045
2019-03-01,105024100.642288858,5424393
2019-03-02,105037784.379562238,5431708
2019-03-03,105051421.134789274,5438109
2019-03-04,105065055.159161982,5444987
2019-03-05,105078795.559189789,5450091
2019-03-06,105092343.034797463,5450072
2019-03-07,105106004.041835692,5451348
2019-03-08,105119612.783872644,5457716
2019-03-09,105133120.749960356,5447319
2019-03-10,105146964.922054324,5454678
2019-03-11,105160465.755702769,5460389
2019-03-12,105174109.078835128,5463322
2019-03-13,105187680.194068001,5467680
2019-03-14,105201281.650328459,5472025
2019-03-15,105214818.711717657,5473500
2019-03-16,105228612.279314288,5478629
2019-03-17,105242082.631693045,5483098
2019-03-18,105255509.60817846,5473184
2019-03-19,105269050.579062229,5474743
2019-03-20,105282736.788101521,5479235
2019-03-21,105296265.625633609,5483648
2019-03-22,105309823.997476042,5487745
2019-03-23,105323527.984117214,5490369
2019-03-24,105337113.754177666,5494849
2019-03-25,105350670.678061841,5472949
2019-03-26,105364170.189631557,5457867
2019-03-27,105377864.790567308,5460372
2019-03-28,105391415.103206775,5466213
2019-03-29,105404898.831369276,5468416
2019-03-30,105418448.974037301,5472907
2019-03-31,105432069.881998968,5476185
2019-04-01,105445717.567775872,5474731
2019-04-02,105459281.692452069,5468247
2019-04-03,105472668.699365902,5463244
2019-04-04,105486318.9667557,5464300
2019-04-05,105499800.054046575,5447647
2019-04-06,105513409.389077484,5448500
2019-04-07,105527062.358299292,5448692
2019-04-08,105540741.29306318,5447462
2019-04-09,105554380.048700468,5440780
2019-04-10,105568058.224937149,5449080
2019-04-11,105581657.580161876,5452199
2019-04-12,105595340.25125438,5419036
2019-04-13,105609162.084568021,5409526
2019-04-14,105622781.900973385,5414664
2019-04-15,105636453.538032098,5412951
2019-04-16,105650049.612885753,5422310
2019-04-17,105663586.09145306,5432342
2019-04-18,105677147.198150452,5431932
2019-04-19,105690786.900193635,5430244
2019-04-20,105704366.55132982,5373830
2019-04-21,105718061.578934722,5366285
2019-04-22,105731670.244028083,5373733
2019-04-23,105745171.948664802,5376860
2019-04-24,105758711.405142194,5373548
2019-04-25,105772362.802073721,5378386
2019-04-26,105786072.738806716,5386646
2019-04-27,105799751.832890409,5395700
2019-04-28,105813324.898515274,5402567
2019-04-29,105826983.058455406,5410998
2019-04-30,105840598.901570043,5412875
2019-05-01,105854265.46819543,5414384
2019-05-02,105867849.435159019,5424984
2019-05-03,105881292.673434463,5431901
2019-05-04,105895120.514542189,5436395
2019-05-05,105908734.834875977,5442184
2019-05-06,105922260.689995655,5451663
2019-05-07,105935834.259319737,5460821
2019-05-08,105949339.585314164,5467615
2019-05-09,105962926.187580353,5473935
2019-05-10,105976581.555878856,5479420
2019-05-11,105990127.133899951,5484971
2019-05-12,106003767.095449635,5492396
2019-05-13,106017208.341522056,5498285
2019-05-14,106030789.120115352,5499785
2019-05-15,106044371.324180139,5510667
2019-05-16,106057795.703634429,5529961
2019-05-17,106071414.015116085,5538463
2019-05-18,106084874.528804264,5550739
2019-05-19,106098429.550439773,5559725
2019-05-20,106111876.278810921,5571334
2019-05-21,106125309.262728348,5585317
2019-05-22,106138903.011076236,5599363
2019-05-23,106152379.226658108,5615532
2019-05-24,106165946.373988172,5625076
2019-05-25,106179659.000882764,5634591
2019-05-26,106193207.074571491,5643059
2019-05-27,106206710.394685473,5653119
2019-05-28,106220101.542143632,5664096
2019-05-29,106233847.94418756,5676192
2019-05-30,106247141.08801292,5678234
2019-05-31,106260809.69300371,5694516
2019-06-01,106274279.789991606,5704463
2019-06-02,106287574.599888568,5704426
2019-06-03,106300936.793211656,5717892
2019-06-04,106314464.699218779,5730020
2019-06-05,106328064.58846135,5729528
2019-06-06,106341700.934399595,5737188
2019-06-07,106355170.992807561,5745984
2019-06-08,106368606.020673664,5755096
2019-06-09,106382128.793567455,5763251
2019-06-10,106395848.63634858,5763869
2019-06-11,106409421.235718868,5769466
2019-06-12,106423475.489109074,5721557
2019-06-13,106436950.232804662,5722667
2019-06-14,106450517.490907051,5726776
2019-06-15,106464023.171846489,5739579
2019-06-16,106477765.824018796,5741838
2019-06-17,106491409.180323297,5756847
2019-06-18,106504818.295543926,5766255
2019-06-19,106518322.340936867,5770177
2019-06-20,106531872.92856188,5776810
2019-06-21,106545278.171373538,5769705
2019-06-22,106558880.23257071,5771773
2019-06-23,106572463.15084301,5767339
2019-06-24,106586039.554589931,5761201
2019-06-25,106599590.470731063,5770408
2019-06-26,106613165.327047071,5776008
2019-06-27,106626642.933791216,5776878
2019-06-28,106640192.832859882,5784296
2019-06-29,106653739.457022468,5788830
2019-06-30,106667307.852559911,5799254
2019-07-01,106680852.070758932,5807474
2019-07-02,106694419.729923286,5760460
2019-07-03,106707860.674209432,5742136
2019-07-04,106721450.545659687,5742114
2019-07-05,106734982.175026108,5746500
2019-07-06,106748748.900856505,5749434
2019-07-07,106762427.373237055,5752205
2019-07-08,106776066.74124147,5754040
2019-07-09,106789697.985671234,5736482
2019-07-10,106803276.845438452,5738599
2019-07-11,106816946.481268541,5740355
2019-07-12,106830436.347649687,5745964
2019-07-13,106844084.355071699,5751556
2019-07-14,106857850.386677044,5761060
2019-07-15,106871312.280582782,5765318
2019-07-16,106884791.204318486,5774929
2019-07-17,106898414.534662837,5777759
2019-07-18,106912063.003565115,5780252
2019-07-19,106925526.587702886,5783689
2019-07-20,106939214.855244289,5789928
2019-07-21,106952690.753252247,5791883
2019-07-22,106966292.531815711,5797580
2019-07-23,106979893.721159224,5803442
2019-07-24,106993499.589710957,5810754
2019-07-25,107006997.431226346,5815681
2019-07-26,107020612.99743621,5818356
2019-07-27,107034257.952751959,5829337
2019-07-28,107047769.880429001,5834464
2019-07-29,107061202.188141177,5837452
2019-07-30,107074905.89831215,5839055
2019-07-31,107088370.738399668,5846154
2019-08-01,107101827.974288873,5855169
2019-08-02,107115515.50409156,5859753
2019-08-03,107129122.614698877,5868307
2019-08-04,107142696.971238018,5877092
2019-08-05,107156296.168652426,5862418
2019-08-06,107169824.918092645,5870841
2019-08-07,107183418.183766176,5876059
2019-08-08,107196848.86285736,5873059
2019-08-09,107210362.663651557,5874002
2019-08-10,107224057.179385872,5880575
2019-08-11,107237537.859729575,5886061
2019-08-12,107251168.771594533,5863599
2019-08-13,107264644.269862777,5871533
2019-08-14,107278276.422936426,5881387
2019-08-15,107291722.83104516,5891290
2019-08-16,107305347.847096865,5897449
2019-08-17,107318991.301259859,5906271
2019-08-18,107332553.157703389,5915997
2019-08-19,107345969.329639583,5925800
2019-08-20,107359521.167013047,5943262
2019-08-21,107373082.928205158,5965992
2019-08-22,107386486.912452915,5981091
2019-08-23,107400132.528500078,5996102
2019-08-24,107413371.980798961,6006460
2019-08-25,107427134.021563418,6015646
2019-08-26,107440562.57808301,6026434
2019-08-27,107454042.062781202,6032817
2019-08-28,107467603.893676399,6042823
2019-08-29,107481301.720335657,6053576
2019-08-30,107494861.248715706,6059587
2019-08-31,107508391.463147937,6067119
2019-09-01,107521905.6489151,6077149
2019-09-02,107535477.867949996,6089339
2019-09-03,107548889.946941511,6094468
2019-09-04,107562293.966117773,6101266
2019-09-05,107575865.036640233,6114501
2019-09-06,107589348.471291791,6128161
2019-09-07,107602878.031789933,6137943
2019-09-08,107616317.685280212,6145479
2019-09-09,107629766.519621758,6153845
2019-09-10,107643204.093885693,6168034
2019-09-11,107656700.507927043,6179109
